"ProbeID"	"GeneID"	"GeneSymbol"	"isSingleGeneID"	"Chip"
"204985_s_at"	"204985_s_at"	79090	"TRAPPC6A"	TRUE	"HG-U133_PLUS_2"
"1554831_x_at"	"1554831_x_at"	151254	"ALS2CR11"	TRUE	"HG-U133_PLUS_2"
"218121_at"	"218121_at"	3163	"HMOX2"	TRUE	"HG-U133_PLUS_2"
"217436_x_at"	"217436_x_at"	3137	"HLA-J"	TRUE	"HG-U133_PLUS_2"
"222885_at"	"222885_at"	51705	"EMCN"	TRUE	"HG-U133_PLUS_2"
"225071_at"	"225071_at"	116150	"NUS1"	TRUE	"HG-U133_PLUS_2"
"207763_at"	"207763_at"	6276	"S100A5"	TRUE	"HG-U133_PLUS_2"
"204988_at"	"204988_at"	2244	"FGB"	TRUE	"HG-U133_PLUS_2"
"213388_at"	"213388_at"	9659	"PDE4DIP"	TRUE	"HG-U133_PLUS_2"
"230160_x_at"	"230160_x_at"	10589	"DRAP1"	TRUE	"HG-U133_PLUS_2"
"207514_s_at"	"207514_s_at"	2779	"GNAT1"	TRUE	"HG-U133_PLUS_2"
"235948_at"	"235948_at"	284716	"RIMKLA"	TRUE	"HG-U133_PLUS_2"
"200987_x_at"	"200987_x_at"	10197	"PSME3"	TRUE	"HG-U133_PLUS_2"
"222615_s_at"	"222615_s_at"	79706	"PRKRIP1"	TRUE	"HG-U133_PLUS_2"
"212692_s_at"	"212692_s_at"	987	"LRBA"	TRUE	"HG-U133_PLUS_2"
"231104_at"	"231104_at"	163589	"TDRD5"	TRUE	"HG-U133_PLUS_2"
"1569320_at"	"1569320_at"	60313	"GPBP1L1"	TRUE	"HG-U133_PLUS_2"
"1552569_a_at"	"1552569_a_at"	83597	"RTP3"	TRUE	"HG-U133_PLUS_2"
"204996_s_at"	"204996_s_at"	8851	"CDK5R1"	TRUE	"HG-U133_PLUS_2"
"232224_at"	"232224_at"	5648	"MASP1"	TRUE	"HG-U133_PLUS_2"
"221421_s_at"	"221421_s_at"	81792	"ADAMTS12"	TRUE	"HG-U133_PLUS_2"
"219045_at"	"219045_at"	54509	"RHOF"	TRUE	"HG-U133_PLUS_2"
"218005_at"	"218005_at"	7570	"ZNF22"	TRUE	"HG-U133_PLUS_2"
"201859_at"	"201859_at"	5552	"SRGN"	TRUE	"HG-U133_PLUS_2"
"206058_at"	"206058_at"	6539	"SLC6A12"	TRUE	"HG-U133_PLUS_2"
"240022_at"	"240022_at"	23211	"ZC3H4"	TRUE	"HG-U133_PLUS_2"
"200721_s_at"	"200721_s_at"	10121	"ACTR1A"	TRUE	"HG-U133_PLUS_2"
"203523_at"	"203523_at"	4046	"LSP1"	TRUE	"HG-U133_PLUS_2"
"244379_at"	"244379_at"	645634	"LOC645634"	TRUE	"HG-U133_PLUS_2"
"1557701_s_at"	"1557701_s_at"	5429	"POLH"	TRUE	"HG-U133_PLUS_2"
"227363_s_at"	"227363_s_at"	10328	"COX4NB"	TRUE	"HG-U133_PLUS_2"
"226020_s_at"	"226020_s_at"	115209	"OMA1"	TRUE	"HG-U133_PLUS_2"
"1557820_at"	"1557820_at"	10939	"AFG3L2"	TRUE	"HG-U133_PLUS_2"
"208149_x_at"	"208149_x_at"	1663	"DDX11"	TRUE	"HG-U133_PLUS_2"
"204843_s_at"	"204843_s_at"	5576	"PRKAR2A"	TRUE	"HG-U133_PLUS_2"
"1560756_at"	"1560756_at"	284313	"FLJ39005"	TRUE	"HG-U133_PLUS_2"
"204722_at"	"204722_at"	55800	"SCN3B"	TRUE	"HG-U133_PLUS_2"
"215394_at"	"215394_at"	5289	"PIK3C3"	TRUE	"HG-U133_PLUS_2"
"216186_at"	"216186_at"	116492	"C1orf20"	TRUE	"HG-U133_PLUS_2"
"206218_at"	"206218_at"	4113	"MAGEB2"	TRUE	"HG-U133_PLUS_2"
"224433_s_at"	"224433_s_at"	79039	"DDX54"	TRUE	"HG-U133_PLUS_2"
"216277_at"	"216277_at"	699	"BUB1"	TRUE	"HG-U133_PLUS_2"
"234356_at"	"234356_at"	26070	"DKFZP434K028"	TRUE	"HG-U133_PLUS_2"
"217414_x_at"	"217414_x_at"	3039	"HBA1"	FALSE	"HG-U133_PLUS_2"
"226153_s_at"	"226153_s_at"	246175	"CNOT6L"	TRUE	"HG-U133_PLUS_2"
"240390_at"	"240390_at"	11227	"GALNT5"	TRUE	"HG-U133_PLUS_2"
"210248_at"	"210248_at"	7476	"WNT7A"	TRUE	"HG-U133_PLUS_2"
"230753_at"	"230753_at"	197135	"PATL2"	TRUE	"HG-U133_PLUS_2"
"211586_s_at"	"211586_s_at"	491	"ATP2B2"	TRUE	"HG-U133_PLUS_2"
"201550_x_at"	"201550_x_at"	71	"ACTG1"	TRUE	"HG-U133_PLUS_2"
"1562167_a_at"	"1562167_a_at"	245935	"DEFB122"	TRUE	"HG-U133_PLUS_2"
"211270_x_at"	"211270_x_at"	5725	"PTBP1"	TRUE	"HG-U133_PLUS_2"
"213360_s_at"	"213360_s_at"	340318	"-"	FALSE	"HG-U133_PLUS_2"
"211131_s_at"	"211131_s_at"	1896	"EDA"	TRUE	"HG-U133_PLUS_2"
"244780_at"	"244780_at"	130367	"SGPP2"	TRUE	"HG-U133_PLUS_2"
"1554804_a_at"	"1554804_a_at"	149461	"CLDN19"	TRUE	"HG-U133_PLUS_2"
"224752_at"	"224752_at"	641845	"-"	FALSE	"HG-U133_PLUS_2"
"206839_at"	"206839_at"	25770	"C22orf31"	TRUE	"HG-U133_PLUS_2"
"202033_s_at"	"202033_s_at"	9821	"RB1CC1"	TRUE	"HG-U133_PLUS_2"
"1557481_a_at"	"1557481_a_at"	387486	"C21orf131"	TRUE	"HG-U133_PLUS_2"
"219004_s_at"	"219004_s_at"	54069	"C21orf45"	TRUE	"HG-U133_PLUS_2"
"242960_at"	"242960_at"	26122	"EPC2"	TRUE	"HG-U133_PLUS_2"
"220592_at"	"220592_at"	55036	"CCDC40"	TRUE	"HG-U133_PLUS_2"
"215823_x_at"	"215823_x_at"	26986	"PABPC1"	FALSE	"HG-U133_PLUS_2"
"226681_at"	"226681_at"	7328	"UBE2H"	TRUE	"HG-U133_PLUS_2"
"1554441_a_at"	"1554441_a_at"	23063	"WAPAL"	TRUE	"HG-U133_PLUS_2"
"242689_at"	"242689_at"	9649	"RALGPS1"	TRUE	"HG-U133_PLUS_2"
"216188_at"	"216188_at"	10408	"MYCNOS"	TRUE	"HG-U133_PLUS_2"
"221525_at"	"221525_at"	83637	"ZMIZ2"	TRUE	"HG-U133_PLUS_2"
"1554628_at"	"1554628_at"	126295	"ZNF57"	TRUE	"HG-U133_PLUS_2"
"212219_at"	"212219_at"	23198	"PSME4"	TRUE	"HG-U133_PLUS_2"
"207631_at"	"207631_at"	10230	"NBR2"	TRUE	"HG-U133_PLUS_2"
